7first_choiceC3,7second_choiceC3,7third_choiceC3,1first_choiceC3,1second_choiceC3,1third_choiceC3,8first_choiceC3,8second_choiceC3,8third_choiceC3,2first_choiceC3,2second_choiceC3,2third_choiceC3,11first_choiceC2,11second_choiceC2,11third_choiceC2,6first_choiceC2,6second_choiceC2,6third_choiceC2,5first_choiceC2,5second_choiceC2,5third_choiceC2,12first_choiceC2,12second_choiceC2,12third_choiceC2,9first_choiceC1,9second_choiceC1,9third_choiceC1,3first_choiceC1,3second_choiceC1,3third_choiceC1,10first_choiceC1,10second_choiceC1,10third_choiceC1,4first_choiceC1,4second_choiceC1,4third_choiceC1,prolific_id,PID,9first_choiceC2,9second_choiceC2,9third_choiceC2,3first_choiceC2,3second_choiceC2,3third_choiceC2,10first_choiceC2,10second_choiceC2,10third_choiceC2,4first_choiceC2,4second_choiceC2,4third_choiceC2,11first_choiceC1,11second_choiceC1,11third_choiceC1,6first_choiceC1,6second_choiceC1,6third_choiceC1,5first_choiceC1,5second_choiceC1,5third_choiceC1,12first_choiceC1,12second_choiceC1,12third_choiceC1,9first_choiceC3,9second_choiceC3,9third_choiceC3,3first_choiceC3,3second_choiceC3,3third_choiceC3,10first_choiceC3,10second_choiceC3,10third_choiceC3,4first_choiceC3,4second_choiceC3,4third_choiceC3,7first_choiceC2,7second_choiceC2,7third_choiceC2,1first_choiceC2,1second_choiceC2,1third_choiceC2,8first_choiceC2,8second_choiceC2,8third_choiceC2,2first_choiceC2,2second_choiceC2,2third_choiceC2,11first_choiceC3,11second_choiceC3,11third_choiceC3,6first_choiceC3,6second_choiceC3,6third_choiceC3,5first_choiceC3,5second_choiceC3,5third_choiceC3,12first_choiceC3,12second_choiceC3,12third_choiceC3
2025-07-17 10:50:35.478737,2025-07-17 10:50:40.480930,2025-07-17 10:51:24.330846,2025-07-17 10:51:52.165702,2025-07-17 10:51:57.018894,2025-07-17 10:52:19.214970,2025-07-17 10:52:44.128358,2025-07-17 10:52:52.671105,2025-07-17 10:53:06.858520,2025-07-17 10:53:32.318969,2025-07-17 10:53:52.238968,2025-07-17 10:54:10.463530,2025-07-17 10:59:23.649574,2025-07-17 10:59:26.736950,2025-07-17 10:59:32.545598,2025-07-17 11:00:29.168465,2025-07-17 11:00:48.447990,2025-07-17 11:00:53.935925,2025-07-17 11:02:05.762666,2025-07-17 11:02:08.780111,2025-07-17 11:02:13.056625,2025-07-17 11:02:43.402806,2025-07-17 11:02:46.245736,2025-07-17 11:03:54.854509,2025-07-17 10:54:54.656381,2025-07-17 10:55:05.422235,2025-07-17 10:55:15.571820,2025-07-17 10:55:28.670237,2025-07-17 10:55:32.126504,2025-07-17 10:55:42.245143,2025-07-17 10:56:18.175300,2025-07-17 10:56:23.746296,2025-07-17 10:56:27.518115,2025-07-17 10:58:28.425835,2025-07-17 10:58:41.572983,2025-07-17 10:58:52.833575,study-data/60ec03471451032a030cfec1.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[10000, 0, 0]","[10000, 0, 0]","[10000, 0, 0]",Sacrifice ten people to develop the vaccine.,"Do not sacrifice ten people, and do not develop the vaccine.",Sacrifice ten people to develop the vaccine.,"[6, 1, 4]","[4, 2, 7]","[7, 1, 7]",Do not approve the research,Do not approve the research,Do not approve the research,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Donate one dollar,Donate one dollar,Donate one dollar,"[3000, 4000, 3000]","[4000, 5000, 1000]","[5000, 5000, 0]",study-data/60ec03471451032a030cfec1.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study-data/559e6830fdf99b4f0b98514a.jsonl,6,,,,,,,,,,,,,2025-07-17 16:49:48.815730,2025-07-17 16:50:47.970777,2025-07-17 16:50:43.057293,2025-07-17 16:51:14.153083,2025-07-17 16:51:20.794345,2025-07-17 16:51:33.039681,2025-07-17 16:51:47.564215,2025-07-17 16:51:52.513529,2025-07-17 16:52:02.579705,2025-07-17 16:52:30.377323,2025-07-17 16:52:33.529495,2025-07-17 16:52:40.884122,2025-07-17 16:53:25.645610,2025-07-17 16:53:31.111023,2025-07-17 16:55:06.324705,2025-07-17 16:55:16.575337,2025-07-17 16:55:22.396324,2025-07-17 16:56:32.713062,2025-07-17 16:57:16.769631,2025-07-17 16:57:19.088164,2025-07-17 16:58:28.848450,2025-07-17 16:59:01.941324,2025-07-17 16:59:11.383470,2025-07-17 17:00:38.529460,2025-07-17 17:01:14.874159,2025-07-17 17:01:17.806349,2025-07-17 17:01:26.092448,2025-07-17 17:02:24.194657,2025-07-17 17:02:30.996304,2025-07-17 17:02:44.783304,2025-07-17 17:03:17.138155,2025-07-17 17:03:17.796753,2025-07-17 17:03:20.533095,2025-07-17 17:03:43.693163,2025-07-17 17:03:48.697337,2025-07-17 17:04:00.019581,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study-data/559e6830fdf99b4f0b98514a.jsonl,6,,,,,,,,,,,,,Approve the research,Approve the research,Approve the research,"[1, 7, 1]","[1, 7, 1]","[1, 7, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Donate one dollar,Donate one dollar,Donate one dollar,"[5000, 5000, 0]","[5000, 5000, 0]","[5000, 5000, 0]",Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[8000, 0, 2000]","[8000, 2000, 0]","[8000, 2000, 0]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[1, 7, 1]","[1, 7, 1]","[1, 7, 1]",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study-data/667901b2c2574ecf30bf6d3b.jsonl,6,,,,,,,,,,,,,2025-07-17 16:38:44.208299,2025-07-17 16:39:00.386479,2025-07-17 16:40:04.756718,2025-07-17 16:40:35.577382,2025-07-17 16:40:46.241908,2025-07-17 16:41:00.025133,2025-07-17 16:41:16.499142,2025-07-17 16:41:21.284419,2025-07-17 16:41:25.265010,2025-07-17 16:41:47.128704,2025-07-17 16:41:50.767809,2025-07-17 16:41:57.732526,2025-07-17 16:42:51.715922,2025-07-17 16:43:03.463782,2025-07-17 16:43:06.232272,2025-07-17 16:43:18.431014,2025-07-17 16:43:25.148977,2025-07-17 16:44:17.760430,2025-07-17 16:44:23.694181,2025-07-17 16:44:25.093545,2025-07-17 16:44:41.916571,2025-07-17 16:45:18.476782,2025-07-17 16:45:25.392916,2025-07-17 16:45:52.075077,2025-07-17 16:46:20.692471,2025-07-17 16:46:23.298040,2025-07-17 16:46:29.123137,2025-07-17 16:46:46.616156,2025-07-17 16:46:50.947884,2025-07-17 16:46:55.757106,2025-07-17 16:47:12.739781,2025-07-17 16:47:15.762350,2025-07-17 16:47:19.259453,2025-07-17 16:47:40.538611,2025-07-17 16:47:44.894044,2025-07-17 16:47:48.866145,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study-data/667901b2c2574ecf30bf6d3b.jsonl,6,,,,,,,,,,,,,Do not approve the research,Do not approve the research,Do not approve the research,"[5, 1, 2]","[6, 1, 2]","[6, 1, 2]","[7, 1, 2]","[7, 1, 2]","[7, 1, 2]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[2, 1, 7]","[3, 1, 5]","[3, 1, 3]",Do not donate one dollar,Do not donate one dollar,Do not donate one dollar,"[5000, 4000, 2000]","[5000, 4000, 2000]","[5000, 4000, 2000]",Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 0, 5000]","[5000, 0, 5000]","[5000, 0, 5000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[1, 5, 2]","[1, 4, 2]","[1, 3, 2]",,,,,,,,,,,,
2025-07-17 13:09:55.332785,2025-07-17 13:10:12.158107,2025-07-17 13:12:32.218544,2025-07-17 13:14:26.118805,2025-07-17 13:15:10.598744,2025-07-17 13:17:02.559199,2025-07-17 13:17:36.072670,2025-07-17 13:17:43.679031,2025-07-17 13:18:55.800282,2025-07-17 13:19:30.184284,2025-07-17 13:19:48.447977,2025-07-17 13:21:20.562068,2025-07-17 13:27:54.698416,2025-07-17 13:28:00.795951,2025-07-17 13:28:18.930733,2025-07-17 13:28:58.033754,2025-07-17 13:29:13.392380,2025-07-17 13:29:44.656559,2025-07-17 13:30:09.277834,2025-07-17 13:30:18.439497,2025-07-17 13:30:41.860162,2025-07-17 13:31:00.192540,2025-07-17 13:31:09.414329,2025-07-17 13:31:26.196200,2025-07-17 13:22:28.551978,2025-07-17 13:22:46.777056,2025-07-17 13:23:09.866910,2025-07-17 13:23:26.807800,2025-07-17 13:23:39.382534,2025-07-17 13:24:04.446579,2025-07-17 13:24:16.683751,2025-07-17 13:24:30.215947,2025-07-17 13:24:53.042080,2025-07-17 13:26:11.571859,2025-07-17 13:26:30.711939,2025-07-17 13:27:04.600463,study-data/65f4ab7884f8411c9e11a34e.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 2000, 3000]","[6000, 3000, 1000]","[6000, 3000, 1000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[6, 2, 7]","[6, 2, 7]","[6, 2, 7]",Approve the research,Approve the research,Approve the research,"[1, 7, 6]","[1, 7, 6]","[1, 7, 6]","[5, 1, 2]","[5, 1, 2]","[5, 1, 2]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Do not attempt to separate the twins,Do not attempt to separate the twins,Do not attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Do not donate one dollar,Do not donate one dollar,Do not donate one dollar,"[3000, 6000, 1000]","[3000, 5000, 2000]","[3000, 5000, 2000]",study-data/65f4ab7884f8411c9e11a34e.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18 16:16:48.725821,2025-07-18 16:17:04.612459,2025-07-18 16:17:29.236851,2025-07-18 16:18:10.731000,2025-07-18 16:19:15.542953,2025-07-18 16:19:36.284912,2025-07-18 16:19:46.925853,2025-07-18 16:19:51.645803,2025-07-18 16:20:03.915220,2025-07-18 16:20:50.326959,2025-07-18 16:21:03.465223,2025-07-18 16:21:28.270414,study-data/6422f34be2b8257efb345837.jsonl,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18 16:22:07.670148,2025-07-18 16:22:16.140655,2025-07-18 16:23:04.372623,2025-07-18 16:23:20.504751,2025-07-18 16:23:37.751242,2025-07-18 16:24:15.612019,2025-07-18 16:24:28.661067,2025-07-18 16:24:35.092056,2025-07-18 16:24:43.715457,2025-07-18 16:25:13.595185,2025-07-18 16:25:29.978520,2025-07-18 16:25:43.302533,2025-07-18 16:26:16.447338,2025-07-18 16:26:20.804406,2025-07-18 16:26:36.734661,2025-07-18 16:26:51.573810,2025-07-18 16:27:03.352077,2025-07-18 16:27:16.726872,2025-07-18 16:27:33.443668,2025-07-18 16:27:41.613996,2025-07-18 16:28:40.086372,2025-07-18 16:28:47.234765,2025-07-18 16:28:53.984113,2025-07-18 16:29:07.265900
,,,,,,,,,,,,,,,,,,,,,,,,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[5, 6, 6]","[5, 5, 5]","[6, 5, 6]",Donate one dollar,Donate one dollar,Donate one dollar,"[5000, 6000, 3000]","[5000, 4000, 1000]","[4000, 5000, 1000]",study-data/6422f34be2b8257efb345837.jsonl,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[4000, 5000, 1000]","[5000, 3000, 2000]","[4000, 5000, 1000]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[3, 2, 5]","[4, 2, 5]","[4, 2, 5]",Approve the research,Approve the research,Approve the research,"[2, 5, 6]","[3, 3, 4]","[3, 5, 6]","[6, 1, 1]","[7, 1, 1]","[7, 1, 1]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving
2025-07-17 10:30:04.836055,2025-07-17 10:30:09.538011,2025-07-17 10:31:13.743233,2025-07-17 10:32:48.440287,2025-07-17 10:33:11.830312,2025-07-17 10:34:01.765969,2025-07-17 10:34:20.120783,2025-07-17 10:34:25.208523,2025-07-17 10:34:41.644554,2025-07-17 10:36:01.010923,2025-07-17 10:36:09.795069,2025-07-17 10:36:39.107133,2025-07-17 10:20:07.447775,2025-07-17 10:20:21.841891,2025-07-17 10:20:43.524104,2025-07-17 10:23:38.995424,2025-07-17 10:26:07.196483,2025-07-17 10:26:21.948382,2025-07-17 10:26:51.584672,2025-07-17 10:27:11.900563,2025-07-17 10:27:37.720599,2025-07-17 10:29:04.390605,2025-07-17 10:29:09.085034,2025-07-17 10:29:12.341460,2025-07-17 10:38:43.584381,2025-07-17 10:38:51.773329,2025-07-17 10:39:05.977596,2025-07-17 10:39:25.331752,2025-07-17 10:39:36.132175,2025-07-17 10:39:54.339941,2025-07-17 10:40:09.465635,2025-07-17 10:40:13.050410,2025-07-17 10:40:16.427733,2025-07-17 10:40:36.125546,2025-07-17 10:40:49.730402,2025-07-17 10:41:05.375044,study-data/63474e67a5fd298c6103c409.jsonl,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[3000, 4000, 3000]","[4000, 4000, 2000]","[4000, 4000, 2000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[1, 4, 6]","[1, 4, 6]","[1, 3, 6]",Do not approve the research,Do not approve the research,Approve the research,"[2, 7, 3]","[2, 6, 4]","[2, 6, 3]","[3, 2, 6]","[3, 2, 5]","[2, 2, 6]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[3, 2, 6]","[3, 2, 5]","[2, 4, 6]",Do not donate one dollar,Donate one dollar,Donate one dollar,"[3000, 4000, 3000]","[4000, 5000, 1000]","[4000, 5000, 1000]",study-data/63474e67a5fd298c6103c409.jsonl,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18 13:10:47.955441,2025-07-18 13:10:53.981282,2025-07-18 13:11:35.414226,2025-07-18 13:11:54.039352,2025-07-18 13:12:05.422876,2025-07-18 13:12:16.698518,2025-07-18 13:12:23.655858,2025-07-18 13:12:26.291125,2025-07-18 13:12:33.140992,2025-07-18 13:13:09.913389,2025-07-18 13:13:26.958575,2025-07-18 13:13:40.491695,study-data/5cfc38f7ee119e001803dd01.jsonl,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-18 13:14:12.533480,2025-07-18 13:14:15.866229,2025-07-18 13:14:25.789629,2025-07-18 13:14:44.306828,2025-07-18 13:15:01.713045,2025-07-18 13:15:13.135670,2025-07-18 13:15:21.842116,2025-07-18 13:15:27.996512,2025-07-18 13:15:33.964299,2025-07-18 13:15:53.048268,2025-07-18 13:15:59.374283,2025-07-18 13:16:06.291900,2025-07-18 13:16:30.876330,2025-07-18 13:16:33.874883,2025-07-18 13:18:04.715828,2025-07-18 13:18:21.071497,2025-07-18 13:18:25.572608,2025-07-18 13:19:15.758759,2025-07-18 13:19:26.392166,2025-07-18 13:19:30.262635,2025-07-18 13:19:34.548363,2025-07-18 13:19:52.317531,2025-07-18 13:19:55.481887,2025-07-18 13:20:33.411306
,,,,,,,,,,,,,,,,,,,,,,,,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[1, 1, 7]","[1, 1, 7]","[1, 1, 7]",Donate one dollar,Donate one dollar,Donate one dollar,"[4000, 4000, 2000]","[4000, 5000, 1000]","[4000, 5000, 1000]",study-data/5cfc38f7ee119e001803dd01.jsonl,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[4000, 5000, 1000]","[5000, 4000, 1000]","[5000, 4000, 1000]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[1, 7, 1]","[1, 7, 1]","[1, 7, 1]",Approve the research,Approve the research,Approve the research,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[1, 7, 1]","[1, 7, 1]","[1, 7, 1]",Report Sam truthfully,Report Sam truthfully,Report Sam truthfully
2025-07-17 16:06:44.239889,2025-07-17 16:06:51.208020,2025-07-17 16:07:18.852597,2025-07-17 16:07:32.109956,2025-07-17 16:07:38.053095,2025-07-17 16:07:57.369602,2025-07-17 16:08:02.582129,2025-07-17 16:08:06.462288,2025-07-17 16:08:27.457393,2025-07-17 16:08:37.111968,2025-07-17 16:08:44.389346,2025-07-17 16:09:18.632182,2025-07-17 16:12:30.460336,2025-07-17 16:12:32.731934,2025-07-17 16:12:38.077524,2025-07-17 16:12:50.166187,2025-07-17 16:12:59.423731,2025-07-17 16:13:11.053864,2025-07-17 16:13:22.911756,2025-07-17 16:13:28.541755,2025-07-17 16:13:39.450773,2025-07-17 16:13:48.825109,2025-07-17 16:13:57.222208,2025-07-17 16:14:00.904788,2025-07-17 16:09:46.781204,2025-07-17 16:09:50.299983,2025-07-17 16:10:20.980408,2025-07-17 16:10:32.350882,2025-07-17 16:10:39.517881,2025-07-17 16:11:02.524414,2025-07-17 16:11:13.558498,2025-07-17 16:11:27.185026,2025-07-17 16:11:25.508529,2025-07-17 16:11:40.121264,2025-07-17 16:11:59.778824,2025-07-17 16:11:56.457862,study-data/5f1dfd940aeb060d8eb3cf55.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[10000, 0, 0]","[10000, 0, 0]","[10000, 0, 0]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[1, 1, 1]","[1, 1, 1]","[1, 4, 1]",Approve the research,Approve the research,Approve the research,"[6, 4, 4]","[6, 4, 2]","[7, 4, 1]","[7, 1, 4]","[7, 1, 2]","[6, 1, 4]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[1, 1, 7]","[3, 1, 7]","[4, 1, 7]",Do not donate one dollar,Do not donate one dollar,Do not donate one dollar,"[5000, 5000, 0]","[5000, 5000, 0]","[5000, 5000, 5000]",study-data/5f1dfd940aeb060d8eb3cf55.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-18 16:53:22.226594,2025-07-18 16:53:27.136845,2025-07-18 16:53:31.917072,2025-07-18 16:54:09.748461,2025-07-18 16:55:00.719302,2025-07-18 16:59:15.383530,2025-07-18 16:59:50.100949,2025-07-18 16:59:55.597515,2025-07-18 17:02:39.803294,2025-07-18 17:02:52.626206,2025-07-18 17:03:04.839665,2025-07-18 17:04:58.210232,,,,,,,,,,,,,,,,,,,,,,,,,study-data/67e88a0303c1b7693d1a0c6f.jsonl,2,2025-07-18 16:35:58.988890,2025-07-18 16:36:13.789750,2025-07-18 16:37:20.662345,2025-07-18 16:38:10.216486,2025-07-18 16:38:33.858001,2025-07-18 16:38:51.842215,2025-07-18 16:39:25.373389,2025-07-18 16:40:21.318943,2025-07-18 16:41:30.630875,2025-07-18 16:43:22.680991,2025-07-18 16:43:57.639330,2025-07-18 16:44:21.045077,2025-07-18 16:45:52.936757,2025-07-18 16:45:59.422786,2025-07-18 16:47:12.411114,2025-07-18 16:47:59.326294,2025-07-18 16:48:21.245338,2025-07-18 16:48:46.950978,2025-07-18 16:49:31.294938,2025-07-18 16:50:36.932615,2025-07-18 16:50:57.568150,2025-07-18 16:52:04.276030,2025-07-18 16:52:09.882723,2025-07-18 16:52:20.156270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[3000, 4000, 3000]","[3000, 4000, 3000]","[3000, 4000, 3000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[4, 2, 3]","[4, 2, 3]","[4, 3, 3]",,,,,,,,,,,,,,,,,,,,,,,,,study-data/67e88a0303c1b7693d1a0c6f.jsonl,2,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 5, 4]","[5, 7, 7]","[5, 4, 6]",Do not donate one dollar,Donate one dollar,Donate one dollar,"[2000, 6000, 2000]","[3000, 3000, 2000]","[6000, 3000, 1000]",Approve the research,Approve the research,Approve the research,"[5, 2, 2]","[3, 4, 4]","[4, 3, 3]","[5, 3, 2]","[5, 2, 2]","[5, 2, 3]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17 11:20:02.570507,2025-07-17 11:20:09.137405,2025-07-17 11:20:13.500886,2025-07-17 11:21:36.915775,2025-07-17 11:21:52.953251,2025-07-17 11:22:10.612672,2025-07-17 11:22:29.543503,2025-07-17 11:22:33.086479,2025-07-17 11:22:45.078032,2025-07-17 11:23:26.848815,2025-07-17 11:23:37.676970,2025-07-17 11:23:48.450997,,,,,,,,,,,,,,,,,,,,,,,,,study-data/667c7880d80864f94fd000bc.jsonl,2,2025-07-17 11:06:50.859136,2025-07-17 11:07:04.495250,2025-07-17 11:07:18.741771,2025-07-17 11:07:45.874123,2025-07-17 11:08:02.992093,2025-07-17 11:08:22.139006,2025-07-17 11:08:36.075335,2025-07-17 11:08:42.833715,2025-07-17 11:08:51.404452,2025-07-17 11:10:04.443978,2025-07-17 11:10:25.831450,2025-07-17 11:10:43.747407,2025-07-17 11:11:37.664691,2025-07-17 11:11:43.997508,2025-07-17 11:12:22.805280,2025-07-17 11:12:45.213314,2025-07-17 11:13:06.223448,2025-07-17 11:13:27.683884,2025-07-17 11:17:48.566413,2025-07-17 11:18:06.914836,2025-07-17 11:18:27.822989,2025-07-17 11:18:59.110894,2025-07-17 11:19:03.759335,2025-07-17 11:19:08.837377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 3000, 2000]","[5000, 3000, 2000]","[5000, 3000, 2000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[3, 2, 5]","[2, 1, 6]","[2, 1, 6]",,,,,,,,,,,,,,,,,,,,,,,,,study-data/667c7880d80864f94fd000bc.jsonl,2,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 4]","[7, 1, 1]","[7, 1, 1]",Donate one dollar,Donate one dollar,Donate one dollar,"[4000, 6000, 0]","[4000, 6000, 0]","[4000, 6000, 0]",Approve the research,Approve the research,Approve the research,"[2, 6, 4]","[2, 6, 4]","[2, 6, 4]","[4, 1, 4]","[5, 1, 3]","[5, 1, 2]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17 15:54:05.903296,2025-07-17 15:54:19.854642,2025-07-17 15:54:46.707272,2025-07-17 15:55:07.604896,2025-07-17 15:55:15.497617,2025-07-17 15:55:23.062054,2025-07-17 15:55:36.847421,2025-07-17 15:55:43.223927,2025-07-17 15:55:49.247834,2025-07-17 15:56:30.887640,2025-07-17 15:57:27.970995,2025-07-17 15:57:53.932056,study-data/668ebf594982c57c983cd910.jsonl,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-17 15:58:57.348082,2025-07-17 15:59:04.136500,2025-07-17 15:59:11.184243,2025-07-17 15:59:42.801091,2025-07-17 16:00:13.364981,2025-07-17 16:00:31.911859,2025-07-17 16:00:43.421205,2025-07-17 16:01:10.747975,2025-07-17 16:01:19.634305,2025-07-17 16:01:38.848213,2025-07-17 16:01:57.452359,2025-07-17 16:02:05.459675,2025-07-17 16:02:40.070644,2025-07-17 16:02:43.703170,2025-07-17 16:02:47.479486,2025-07-17 16:03:21.119382,2025-07-17 16:03:31.919653,2025-07-17 16:03:37.940265,2025-07-17 16:03:51.562406,2025-07-17 16:03:57.005986,2025-07-17 16:04:02.092417,2025-07-17 16:04:21.457301,2025-07-17 16:04:26.191710,2025-07-17 16:04:29.497618
,,,,,,,,,,,,,,,,,,,,,,,,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Do not donate one dollar,Do not donate one dollar,Do not donate one dollar,"[3000, 3000, 3000]","[4000, 5000, 1000]","[4000, 5000, 1000]",study-data/668ebf594982c57c983cd910.jsonl,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[7000, 3000, 0]","[6000, 3000, 1000]","[6000, 3000, 1000]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[1, 7, 1]","[1, 1, 1]","[1, 1, 1]",Approve the research,Approve the research,Approve the research,"[4, 6, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving
